Organization Name,chart_family.line_chart,chart_family.bar_chart,chart_family.scatter_plot,chart_family.map,chart_family.flow_diagram,chart_family.infographic,chart_family.pie_chart,chart_family.heatmap,chart_family.dashboard_multi_view,chart_family.table,chart_family.tree_diagram,chart_family.box_plot,chart_family.area_chart,chart_family.network_graph,chart_family.timeline,chart_family.histogram,chart_family.treemap,chart_family.other,data_context.temporal_trend,data_context.categorical_comparison,data_context.geographic_spatial,data_context.composition_part_to_whole,data_context.flow_process,data_context.correlation_relationship,data_context.multivariate,data_context.distribution,data_context.hierarchical,data_context.mixed_multi_context,data_context.text_narrative,data_context.network_relational,data_context.ranking_ordered,structural_features.has_y_axis,structural_features.has_x_axis,structural_features.has_direct_labels,structural_features.axes_labeled,structural_features.has_title,structural_features.has_grid_lines,structural_features.has_legend,structural_features.multi_panel,structural_features.missing_data_present,visual_embellishments.datapoints_shapes_lines,visual_embellishments.has_text_annotations,visual_embellishments.iconography_present,visual_embellishments.photograph_present,visual_embellishments.medical_imaging_present
Agency for Toxic Substances and Disease Registry (ATSDR),0.05,0.41,0.01,0.29,0.11,0.05,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.41,0.29,0.05,0.11,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.05,0.47,0.39,0.82,0.4,0.82,0.45,0.48,0.12,0.19,0.37,0.65,0.41,0.02,0.0
American Cancer Society,0.34,0.28,0.0,0.24,0.0,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.21,0.24,0.1,0.0,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.0,0.66,0.69,0.59,0.69,0.62,0.31,0.59,0.31,0.17,0.24,0.31,0.07,0.0,0.0
Centers for Medicare & Medicaid Services (CMS),0.18,0.33,0.06,0.24,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.24,0.27,0.24,0.0,0.12,0.06,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.48,0.55,0.55,0.61,0.3,0.48,0.61,0.0,0.15,0.3,0.3,0.15,0.0,0.0
Dana-Farber Cancer Institute,0.07,0.26,0.04,0.15,0.07,0.22,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.07,0.0,0.0,0.0,0.22,0.26,0.15,0.15,0.07,0.04,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.37,0.33,0.85,0.41,0.59,0.19,0.3,0.37,0.0,0.52,0.74,0.7,0.07,0.0
Fogarty International Center,0.04,0.48,0.0,0.28,0.04,0.04,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.2,0.28,0.12,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.52,0.52,0.8,0.52,0.68,0.44,0.28,0.04,0.08,0.12,0.2,0.2,0.0,0.0
Health Resources and Services Administration (HRSA),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.25,0.0,0.62,0.0,0.12,0.75,0.75,0.62,0.0,0.0
Indian Health Service (IHS),0.46,0.08,0.0,0.12,0.12,0.0,0.04,0.0,0.04,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.54,0.04,0.12,0.08,0.12,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.58,0.58,0.92,0.58,0.83,0.62,0.29,0.04,0.0,0.58,0.75,0.21,0.04,0.0
National Cancer Institute ,0.56,0.06,0.16,0.03,0.04,0.03,0.01,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.64,0.08,0.03,0.03,0.04,0.06,0.05,0.03,0.01,0.02,0.01,0.01,0.0,0.85,0.85,0.25,0.86,0.78,0.79,0.44,0.13,0.07,0.71,0.66,0.08,0.01,0.01
National Eye Institute,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.33,0.0,0.11,0.11,0.0,0.0,0.0,0.22,0.11,0.0,0.0,0.44,0.33,0.56,0.33,0.89,0.22,0.67,0.67,0.0,0.22,0.44,0.33,0.33,0.22
"National Heart, Lung, and Blood Institute",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6,0.0,0.0,0.2,0.2,0.8,0.4,0.0,0.0
