Organization Name,Visualization Name,Original URL,Archived URL,Cached?,Timestamp,Archive Date
American Cancer Society,ACS-28-health-18.jpg,https://www.cancer.org/research/acs-research-news/treatment-and-survivorship-news-2025.html,https://web.archive.org/web/20260701120915/https://www.cancer.org/research/acs-research-news/treatment-and-survivorship-news-2025.html,True,2026-07-01 12:09:15,2026-07-01
American Cancer Society,ACS-28-health-19.jpg,https://www.cancer.org/research/acs-research-news/treatment-and-survivorship-news-2025.html,https://web.archive.org/web/20260701120915/https://www.cancer.org/research/acs-research-news/treatment-and-survivorship-news-2025.html,True,2026-07-01 12:09:15,2026-07-01
American Cancer Society,ACS-28-health-20.jpg,https://www.cancer.org/research/acs-research-news/treatment-and-survivorship-news-2025.html,https://web.archive.org/web/20260701120915/https://www.cancer.org/research/acs-research-news/treatment-and-survivorship-news-2025.html,True,2026-07-01 12:09:15,2026-07-01
American Cancer Society,ACS-28-health-22.png,https://www.cancer.org/cancer/risk-prevention/diet-physical-activity/body-weight-and-cancer-risk/body-mass-index-bmi-calculator.html,https://web.archive.org/web/20260701121028/https://www.cancer.org/cancer/risk-prevention/diet-physical-activity/body-weight-and-cancer-risk/body-mass-index-bmi-calculator.html,True,2026-07-01 12:10:28,2026-07-01
American Cancer Society,ACS-28-health-36.jpg,https://www.cancer.org/research/acs-research-highlights/cancer-health-disparities-research/state-of-cancer-disparities-in-united-states-2023.html,https://web.archive.org/web/20260701121033/https://www.cancer.org/research/acs-research-highlights/cancer-health-disparities-research/state-of-cancer-disparities-in-united-states-2023.html,True,2026-07-01 12:10:33,2026-07-01
American Cancer Society,ACS-28-health-37.jpg,https://www.cancer.org/research/acs-research-highlights/cancer-health-disparities-research/state-of-cancer-disparities-in-united-states-2023.html,https://web.archive.org/web/20260701121033/https://www.cancer.org/research/acs-research-highlights/cancer-health-disparities-research/state-of-cancer-disparities-in-united-states-2023.html,True,2026-07-01 12:10:33,2026-07-01
Centers for Medicare & Medicaid Services (CMS),CM&MS-942-health-5.jpg,https://www.cms.gov/newsroom/fact-sheets/community-health-access-and-rural-transformation-chart-model-fact-sheet,https://web.archive.org/web/20260701123311/https://www.cms.gov/newsroom/fact-sheets/community-health-access-and-rural-transformation-chart-model-fact-sheet,True,2026-07-01 12:33:11,2026-07-01
Dana-Farber Cancer Institute,DCI-959-health-125.jpg,https://www.dana-farber.org/for-physicians/clinical-resources/hematologic-malignancies/advances-newsletter/2022-issue-15/advancing-standard-care-newly-diagnosed-relapsed-refractory-multiple-myeloma,https://web.archive.org/web/20260701123322/https://www.dana-farber.org/for-physicians/clinical-resources/hematologic-malignancies/advances-newsletter/2022-issue-15/advancing-standard-care-newly-diagnosed-relapsed-refractory-multiple-myeloma,True,2026-07-01 12:33:22,2026-07-01
Dana-Farber Cancer Institute,DCI-959-health-179.jpg,https://www.dana-farber.org/newsroom/features/the-revolution-continues-in-cellular-therapies,https://web.archive.org/web/20260701121106/https://www.dana-farber.org/newsroom/features/the-revolution-continues-in-cellular-therapies,True,2026-07-01 12:11:06,2026-07-01
Dana-Farber Cancer Institute,DCI-959-health-200.jpg,https://www.dana-farber.org/newsroom/features/improving-cancer-care-for-everyone,https://web.archive.org/web/20260701121125/https://www.dana-farber.org/newsroom/features/improving-cancer-care-for-everyone,True,2026-07-01 12:11:25,2026-07-01
Dana-Farber Cancer Institute,DCI-959-health-234.jpg,https://www.dana-farber.org/newsroom/features/moving-from-patient-to-parent,https://web.archive.org/web/20260701121143/https://www.dana-farber.org/newsroom/features/moving-from-patient-to-parent,True,2026-07-01 12:11:43,2026-07-01
Fogarty International Center,FIC-962-health-11.JPG,https://www.fic.nih.gov/About/Budget/Pages/2019.aspx,https://web.archive.org/web/20260701123337/https://www.fic.nih.gov/About/Budget/Pages/2019.aspx,True,2026-07-01 12:33:37,2026-07-01
Fogarty International Center,FIC-962-health-32.jpg,https://www.fic.nih.gov/About/Budget/Pages/fogarty-nih-congressional-justification-fiscal-year-2020.aspx,https://web.archive.org/web/20260701121335/https://www.fic.nih.gov/About/Budget/Pages/fogarty-nih-congressional-justification-fiscal-year-2020.aspx,True,2026-07-01 12:13:35,2026-07-01
Fogarty International Center,FIC-962-health-20.jpg,https://www.fic.nih.gov/News/GlobalHealthMatters/january-february-2014/Pages/spending-investment-biomedical-research-development.aspx,https://web.archive.org/web/20260701124421/https://www.fic.nih.gov/News/GlobalHealthMatters/january-february-2014/Pages/spending-investment-biomedical-research-development.aspx,False,2026-07-01 12:44:21,2026-07-01
National Cancer Institute ,NCI-1964-health-8.jpg,https://seer.cancer.gov/seerdms/portal/chart-text-4-100.jpg/view,https://web.archive.org/web/20260701121456/https://seer.cancer.gov/seerdms/portal/chart-text-4-100.jpg/view,True,2026-07-01 12:14:56,2026-07-01
National Cancer Institute ,NCI-1964-health-43.png,https://www.cancer.gov/rare-brain-spine-tumor/tumors/meningioma,https://web.archive.org/web/20260701121457/https://www.cancer.gov/rare-brain-spine-tumor/tumors/meningioma,True,2026-07-01 12:14:57,2026-07-01
National Cancer Institute ,NCI-1964-health-47.png,https://www.cancer.gov/rare-brain-spine-tumor/tumors/oligodendroglioma,https://web.archive.org/web/20260701121516/https://www.cancer.gov/rare-brain-spine-tumor/tumors/oligodendroglioma,True,2026-07-01 12:15:16,2026-07-01
National Cancer Institute ,NCI-1962-health-12.jpg,https://dctd.cancer.gov/programs/occam/organization,https://web.archive.org/web/20260701121442/https://dctd.cancer.gov/programs/occam/organization,True,2026-07-01 12:14:42,2026-07-01
National Cancer Institute ,NCI-1964-health-49.png,https://www.cancer.gov/rare-brain-spine-tumor/tumors/oligodendroglioma,https://web.archive.org/web/20260701121516/https://www.cancer.gov/rare-brain-spine-tumor/tumors/oligodendroglioma,True,2026-07-01 12:15:16,2026-07-01
National Cancer Institute ,NCI-1965-health-13.jpg,https://www.cancer.gov/rare-brain-spine-tumor/tumors/medulloblastoma,https://web.archive.org/web/20260701121520/https://www.cancer.gov/rare-brain-spine-tumor/tumors/medulloblastoma,True,2026-07-01 12:15:20,2026-07-01
National Cancer Institute ,NCI-1978-health-194.png,https://docs.gdc.cancer.gov/Data_Portal/Users_Guide/oncomatrix/,https://web.archive.org/web/20260701121652/https://docs.gdc.cancer.gov/Data_Portal/Users_Guide/oncomatrix/,True,2026-07-01 12:16:52,2026-07-01
National Cancer Institute ,NCI-1978-health-195.png,https://docs.gdc.cancer.gov/Data_Portal/Users_Guide/oncomatrix/,https://web.archive.org/web/20260701121652/https://docs.gdc.cancer.gov/Data_Portal/Users_Guide/oncomatrix/,True,2026-07-01 12:16:52,2026-07-01
National Cancer Institute ,NCI-1978-health-239.png,https://docs.gdc.cancer.gov/Data_Portal/Users_Guide/oncomatrix/,https://web.archive.org/web/20260701121652/https://docs.gdc.cancer.gov/Data_Portal/Users_Guide/oncomatrix/,True,2026-07-01 12:16:52,2026-07-01
